,TITLE,ORCHESTRA,SINGER,STYLE,DATE,COMPOSER,AUTHOR,SOLOIST,DIRECTOR
0,Japonesita,Adolfo CARABELLI,,FOXTROT,1927-08-03,Antonio Bonavena,Antonio Bonavena,,
1,El aeroplano,Adolfo CARABELLI,,VALS,1927-11-02,Pedro Datta,,,
2,Canta guitarra,Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1931-00-00,Angel Ortiz de Villajos,Mariano Bolaños Recio y Alfonso Jofre de Villegas,,
3,Cantando,Adolfo CARABELLI,Alberto Gomez y Mercedes Simone,TANGO,1931-09-04,Mercedes Simone,Mercedes Simone,,
4,Mi refugio,Adolfo CARABELLI,Alberto Gomez,TANGO,1931-09-04,Juan Carlos Cobián,Pedro Numa Córdoba,,
5,Sinverguenza alabancioso,Adolfo CARABELLI,Mercedes Simone,RANCHERA,1931-09-07,José Laina,Juan Bautista Abad Reyes,,
6,Mentira,Adolfo CARABELLI,Carlos Lafuente,TANGO,1931-10-02,Francisco Pracánico,Celedonio Flores,,
7,Que salga el toro,Adolfo CARABELLI,,PASODOBLE,1931-10-02,?,?,,
8,Me vuelves loco,Adolfo CARABELLI,Alberto Gomez,FOXTROT,1931-11-02,Walter Donaldson,Francisco Antonio Lío,,
9,Por qué,Adolfo CARABELLI,Alberto Gomez,TANGO,1931-11-02,Osvaldo Fresedo,Emilio Fresedo,,
10,El cantar de los gitanos,Adolfo CARABELLI,Carlos Lafuente,PASODOBLE,1931-12-24,Pascual De Luca,Pascual De Luca,,
11,Carmencita la gitana,Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1932-00-00,?,?,,
12,El pensamiento (2),Adolfo CARABELLI,Carlos Lafuente,TANGO,1932-00-00,José Martínez,Francisco García Jiménez,,
13,Jamás podré olvidarte,Adolfo CARABELLI,Alberto Gomez,VALS,1932-00-00,Julio De Caro,Mario César Gomila,,
14,Milonga sentimental,Adolfo CARABELLI,Carlos Lafuente,MILONGA,1932-00-00,Sebastián Piana,Homero Manzi,,
15,Paseandome con mi novia,Adolfo CARABELLI,,FOXTROT,1932-00-00,?,?,,
16,Tango del querer,Adolfo CARABELLI,Alberto Gomez y Alberto Vila,TANGO,1932-02-05,Andrés Domenech,Ricardo Lleras,,
17,Olvidao,Adolfo CARABELLI,Charlo,TANGO,1932-03-18,Guillermo Barbieri,Enrique Cadícamo,,
18,Clyde,Adolfo CARABELLI,Carlos Lafuente,VALS,1932-03-21,Héctor Bates,Venancio Clauso,,
19,Cuando miran tus ojos,Adolfo CARABELLI,Luis Díaz,VALS,1932-05-06,José María Aguilar,Enrique Cadícamo,,
20,Desconfianza,Adolfo CARABELLI,Luis Díaz,TANGO,1932-05-06,Edgardo Donato,Manuel Romero,,
21,Manon,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-05-20,Arturo De Bassi,Antonio Miguel Podestá,,
22,El puñal sevillano,Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1932-05-24,?,?,,
23,Por dónde andará,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-05-24,Salvador Merico,Atilio Supparo,,
24,Inspiracion,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-06-17,Peregrino Paulos,Luis Rubistein,,
25,Felicia,Adolfo CARABELLI,,TANGO,1932-06-24,Enrique Saborido,Carlos Mauricio Pacheco,,
26,Rodriguez Peña,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-06-24,Vicente Greco,Juan Velich,,
27,Castañuelas (2),Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1932-07-19,Alfredo Marengo y José Adolfo Zatzkin,Alfredo Marengo y José Adolfo Zatzkin,,
28,Negra Consentida,Adolfo CARABELLI,Alberto Gomez,RUMBA,1932-07-19,?,?,,
29,Volvé,Adolfo CARABELLI,Mercedes Simone,TANGO,1932-07-26,Edgardo Donato,Luis Bayón Herrera,,
30,Hamacandose,Adolfo CARABELLI,,FOXTROT,1932-09-07,?,?,,
31,Sentado en un tanque,Adolfo CARABELLI,,FOXTROT,1932-09-07,?,?,,
32,Alma,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-09-09,Federico Scorticati,Juan Sarcione,,
33,Loco,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-09-09,Niels Paulos,Luis Rubistein,,
34,El trece,Adolfo CARABELLI,Alberto Gomez,TANGO,1932-09-27,Albérico Spátola,Angel Gregorio Villoldo,,
35,El Caburé,Adolfo CARABELLI,,TANGO,1932-10-28,Arturo De Bassi,Roberto Lino Cayol,,
36,La guiñada,Adolfo CARABELLI,,TANGO,1932-10-28,Agustín Bardi,,,
37,No le quiero mirar,Adolfo CARABELLI,Mercedes Simone y Carlos Lafuente,VALS,1932-12-30,Pablo Rodríguez,Pablo Rodríguez,,
38,Campanita del suburbio,Adolfo CARABELLI,Charlo,TANGO,1933-00-00,Pedro Lloret,Jaime Lloret Reos,,
39,Capullito de aleli,Adolfo CARABELLI,Carlos Lafuente,FOXTROT,1933-00-00,?,?,,
40,Cuando canta mi guitarra,Adolfo CARABELLI,Carlos Lafuente,PASODOBLE,1933-00-00,?,?,,
41,Deci que si,Adolfo CARABELLI,Alberto Gomez,VALS,1933-00-00,Azucena Maizani y Orestes Cúfaro,Alberto Pidemunt,,
42,Florida ventana de Granada,Adolfo CARABELLI,,PASODOBLE,1933-00-00,?,?,,
43,La gaucha Petrona (Petiza y panzona),Adolfo CARABELLI,Carlos Lafuente,VALS,1933-00-00,Enrique Delfino,Mario Rada,,
44,Madrileña castiza,Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1933-00-00,Adolfo Carabelli,Ginés Miralles,,
45,Mar adentro (Navega mi velero),Adolfo CARABELLI,Carlos Lafuente,TANGO,1933-00-00,Enrique Delfino,Mario Battistella,,
46,Rinconcito para dos,Adolfo CARABELLI,Alberto Gomez,FOXTROT,1933-00-00,?,?,,
47,Romance,Adolfo CARABELLI,Charlo,TANGO,1933-00-00,Federico Scorticati,Juan Sarcione,,
48,Yo me quiero divorciar,Adolfo CARABELLI,Alberto Gomez,FOXTROT,1933-03-15,?,?,,
49,Mia,Adolfo CARABELLI,Carlos Lafuente,TANGO,1933-04-11,Elvino Vardaro y Antonio Oscar Arona,Celedonio Flores,,
50,Tomala con soda,Adolfo CARABELLI,Charlo,TANGO,1933-05-04,Enrique Delfino,Manuel Romero,,
51,Cuatro palabras (2),Adolfo CARABELLI,Charlo,TANGO,1933-07-25,Luis Rubistein,Luis Rubistein,,
52,Juntito al jaguel,Adolfo CARABELLI,Charlo,RANCHERA,1933-07-25,?,?,,
53,Pa' que lagrimear,Adolfo CARABELLI,Carlos Lafuente,TANGO,1933-09-12,Sebastián Piana,Carlos Goicoechea y Rogelio Cordone,,
54,El mundo sigue al revés,Adolfo CARABELLI,Teofilo Ibañez,TANGO,1934-00-00,Rosa E. de Goñi,Rosa E. de Goñi,,
55,Florida de 6 a 8,Adolfo CARABELLI,Fernando Díaz,FOXTROT,1934-04-25,?,?,,
56,Mi evocación,Adolfo CARABELLI,Luis Díaz,TANGO,1934-05-07,Remo Piangiarelli y Antonio Benedicto,Antonio Benedicto,,
57,Alegria de panderetas,Adolfo CARABELLI,Alberto Gomez,PASODOBLE,1935-04-17,?,?,,
58,Marioneta,Alfredo DE ANGELIS,Floreal Ruiz,TANGO,1943-07-23,Juan José Guichandut,Armando Tagini,,
59,Qué buena es,Alfredo DE ANGELIS,Julio Martel y Nestor Rodi,TANGO,1943-07-23,?,?,,
60,Buenos Aires de ayer,Alfredo DE ANGELIS,Julio Martel y Nestor Rodi,MILONGA,1943-08-10,?,?,,
61,Dejame así,Alfredo DE ANGELIS,Floreal Ruiz,TANGO,1943-08-10,Víctor Braña y Domingo Triguero,Oscar Rubens,,
62,Como se muere de amor,Alfredo DE ANGELIS,Floreal Ruiz y Nestor Rodi,TANGO,1943-11-04,Daniel Alvarez,Daniel Alvarez,,
63,Pura maña,Alfredo DE ANGELIS,,TANGO,1943-11-04,?,?,,
64,Bajo el cono azul,Alfredo DE ANGELIS,Floreal Ruiz y Nestor Rodi,TANGO,1944-02-29,Alfredo De Angelis,Carmelo Volpe,,
65,Ya sé que siguen hablando,Alfredo DE ANGELIS,Julio Martel,TANGO,1944-02-29,Héctor Palacios,Iván Diez,,
66,Cero al as,Alfredo DE ANGELIS,Floreal Ruiz,TANGO,1944-04-28,Arturo Gallucci,Francisco Bohigas,,
67,Mi novia de ayer,Alfredo DE ANGELIS,Floreal Ruiz,VALS,1944-04-28,Arturo Gallucci,José Barreiros Bazán,,
68,La cumparsita,Alfredo DE ANGELIS,Nestor Rodi,TANGO,1944-06-03,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni,,
69,Madre,Alfredo DE ANGELIS,Floreal Ruiz,TANGO,1944-06-03,Francisco Pracánico,Verminio Servetto,,
70,De igual a igual,Alfredo DE ANGELIS,Julio Martel,TANGO,1944-07-31,Rodolfo Sciammarella,Rodolfo Sciammarella,,
71,La guitarrera,Alfredo DE ANGELIS,Floreal Ruiz,MILONGA,1944-07-31,Francisco Brancatti,Rafael Dadino,,
72,El tropero del amor,Alfredo DE ANGELIS,Carlos Dante,TANGO,1944-08-29,Teófilo Lespés,Yaraví,,
73,Soñar y nada mas,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,VALS,1944-08-29,Francisco Canaro,Ivo Pelay,,
74,Campanita,Alfredo DE ANGELIS,Julio Martel,TANGO,1944-10-10,Juan Polito,Salvador Polito,,
75,Melenita de oro,Alfredo DE ANGELIS,Carlos Dante,TANGO,1944-10-10,Carlos Vicente Geroni Flores,Samuel Linnig,,
76,Cruz de palo,Alfredo DE ANGELIS,Carlos Dante,TANGO,1944-11-23,Guillermo Barbieri,Enrique Cadícamo,,
77,Parece un cuento,Alfredo DE ANGELIS,Julio Martel,TANGO,1944-11-23,Lalo Etchegoncelay,José Rótulo,,
78,El vals de nochebuena,Alfredo DE ANGELIS,Carlos Dante,VALS,1944-11-27,?,?,,
79,Va llegando gente al baile,Alfredo DE ANGELIS,Julio Martel,TANGO,1944-12-18,Félix Lipesker,Lito Bayardo,,
80,El pial,Alfredo DE ANGELIS,,TANGO,1945-01-09,?,?,,
81,La manaña,Alfredo DE ANGELIS,Julio Martel,MILONGA,1945-01-09,Miguel Bucino,Miguel Bucino,,
82,Nieve de amor,Alfredo DE ANGELIS,Carlos Dante,TANGO,1945-01-09,Alberto Talián y Eduardo Talián,Horacio Sanguinetti,,
83,No me importa su amor,Alfredo DE ANGELIS,Carlos Dante,TANGO,1945-01-09,José Dames,Enrique Cadícamo,,
84,Cuando tú me quieras,Alfredo DE ANGELIS,Carlos Dante,TANGO,1945-03-26,Julio Pollero y Agesilao Ferrazzano,Francisco Bohigas,,
85,Pregonera,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,TANGO,1945-03-26,Alfredo De Angelis,José Rótulo,,
86,Acordes porteños,Alfredo DE ANGELIS,Julio Martel,TANGO,1945-05-04,?,?,,
87,Ya estamos iguales,Alfredo DE ANGELIS,Carlos Dante,TANGO,1945-05-04,Anselmo Aieta,Francisco García Jiménez,,
88,Altar sin luz,Alfredo DE ANGELIS,Julio Martel,TANGO,1945-06-08,Guillermo Vilar,Iván Diez,,
89,Ilusión azul,Alfredo DE ANGELIS,Carlos Dante,VALS,1945-06-08,Arquímedes Arci,Arquímedes Arci,,
90,No no me abandones,Alfredo DE ANGELIS,Julio Martel,TANGO,1945-07-17,Héctor Grané,Justo Ricardo Thompson,,
91,Un tango y nada mas,Alfredo DE ANGELIS,Julio Martel,TANGO,1945-07-17,Armando Lacava y Juan Pomati,Carlos Waiss,,
92,Por eso grito,Alfredo DE ANGELIS,Julio Martel,TANGO,1945-08-10,Edgardo Donato,César Córdoba,,
93,Vieja luna,Alfredo DE ANGELIS,Carlos Dante,TANGO,1945-08-31,Arturo Gallucci,Celedonio Flores,,
94,Rendido,Alfredo DE ANGELIS,Julio Martel,TANGO,1945-09-11,Alfredo Cordisco,Alberto Leiva,,
95,Soy un arlequín,Alfredo DE ANGELIS,Carlos Dante,TANGO,1945-09-11,Enrique Santos Discépolo,Enrique Santos Discépolo,,
96,Mentiras piadosas,Alfredo DE ANGELIS,Carlos Dante,TANGO,1945-10-29,Miguel Nijensohn y Pedro Héctor Pandolfi,Carlos Marín,,
97,Ivón,Alfredo DE ANGELIS,Julio Martel,TANGO,1945-10-30,Luis Visca,Horacio Sanguinetti,,
98,Del pasado,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,MILONGA,1945-11-13,Alfredo Marino,Alfredo Marino,,
99,Para qué te quiero tanto,Alfredo DE ANGELIS,Carlos Dante,TANGO,1945-11-13,Juan Larenza,Cátulo Castillo,,
100,Aqui he venido a cantar,Alfredo DE ANGELIS,Julio Martel,TANGO,1945-12-13,Fulvio Salamanca,Carlos Bahr,,
101,Sirva otra copa,Alfredo DE ANGELIS,Carlos Dante,TANGO,1945-12-13,Arturo Gallucci,José Rótulo,,
102,El entrerriano,Alfredo DE ANGELIS,,TANGO,1946-01-07,Rosendo Mendizabal,Homero Exposito,,
103,Pobre flor,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,VALS,1946-01-07,Luis Mottolese,Víctor Feliciano Spíndola,,
104,Carnaval,Alfredo DE ANGELIS,Carlos Dante,TANGO,1946-03-01,Anselmo Aieta,Francisco García Jiménez,,
105,Hoy al recordarla,Alfredo DE ANGELIS,Julio Martel,TANGO,1946-03-01,José Canet,José Canet,,
106,Para mí lo mismo da,Alfredo DE ANGELIS,Carlos Dante,TANGO,1946-03-29,Alberto Talián y Eduardo Talián,Santiago Adamini,,
107,Y no volvió,Alfredo DE ANGELIS,Julio Martel,TANGO,1946-03-29,Carlos Cubría y Héctor Gentile,José Rótulo,,
108,El mayoral del tranvía,Alfredo DE ANGELIS,Julio Martel,MILONGA,1946-04-26,Carlos Mayel,Francisco Laino,,
109,La brisa,Alfredo DE ANGELIS,Carlos Dante,TANGO,1946-04-26,Francisco Canaro y Juan Canaro,Juan Andrés Caruso,,
110,Esa noche,Alfredo DE ANGELIS,Julio Martel,VALS,1946-05-24,Tito Ribero,Carlos Waiss,,
111,Remolino,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,TANGO,1946-05-24,Alfredo De Angelis,José Rótulo,,
112,Con alma de tango,Alfredo DE ANGELIS,Carlos Dante,TANGO,1946-06-28,Juan D'Arienzo,Carlos Waiss,,
113,El chañar,Alfredo DE ANGELIS,,TANGO,1946-06-28,Eduardo Arolas,,,
114,En la noche de tus ojos,Alfredo DE ANGELIS,Carlos Dante,TANGO,1946-07-11,Pacífico Lambertucci,Francisco García Jiménez,,
115,Melodía gris,Alfredo DE ANGELIS,Julio Martel,TANGO,1946-07-11,Raúl Bruno,Ricardo Duggan,,
116,La vida me engañó,Alfredo DE ANGELIS,Julio Martel,TANGO,1946-08-23,Alfonso Casini,Marvil,,
117,Tiene razón amigazo,Alfredo DE ANGELIS,Julio Martel,TANGO,1946-08-23,Alfredo Calabró,Enrique Dizeo,,
118,Así es Ninón,Alfredo DE ANGELIS,Carlos Dante,TANGO,1946-09-25,Juan Larenza,Marsilio Robles,,
119,El taladro,Alfredo DE ANGELIS,,TANGO,1946-09-25,?,?,,
120,Justicia criolla,Alfredo DE ANGELIS,Carlos Dante,TANGO,1946-11-07,Rafael Iriarte,Francisco Brancatti,,
121,Rosicler,Alfredo DE ANGELIS,Julio Martel,TANGO,1946-11-07,José Basso,Francisco García Jiménez,,
122,Oro muerto (Jirón porteño),Alfredo DE ANGELIS,Julio Martel,TANGO,1946-11-29,Juan Raggi y Julio Navarrine,Juan Raggi,,
123,Qué lindo es estar metido,Alfredo DE ANGELIS,Carlos Dante,TANGO,1946-11-29,Enrique Delfino,Pascual Contursi,,
124,Yo también carrero fui,Alfredo DE ANGELIS,Julio Martel,TANGO,1946-12-13,Héctor Marcó,Héctor Marcó,,
125,Adios marinero,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,TANGO,1946-12-27,Arturo Gallucci,Reinaldo Yiso,,
126,Chorra,Alfredo DE ANGELIS,Julio Martel,TANGO,1946-12-27,Enrique Santos Discepolo,Enrique Santos Discepolo,,
127,Mano a mano,Alfredo DE ANGELIS,Carlos Dante,TANGO,1946-12-27,Carlos Gardel y José Razzano,Celedonio Flores,,
128,Aleli,Alfredo DE ANGELIS,Carlos Dante,TANGO,1947-03-20,Alfredo De Angelis,José Rótulo,,
129,Yo también reí,Alfredo DE ANGELIS,Julio Martel,TANGO,1947-03-20,Carlos Cubría y Héctor Gentile,José Rótulo,,
130,A su memoria,Alfredo DE ANGELIS,Carlos Dante,VALS,1947-04-23,Antonio Sureda,Homero Manzi,,
131,Entrá sin miedo hermana,Alfredo DE ANGELIS,Julio Martel,TANGO,1947-04-23,Raúl de los Hoyos,Mario Flores,,
132,Con la otra,Alfredo DE ANGELIS,Carlos Dante,TANGO,1947-05-08,Lito Bayardo,Lito Bayardo,,
133,Sigan tomando muchachos,Alfredo DE ANGELIS,Julio Martel,TANGO,1947-05-08,Antonio Bonavena,Rodolfo Scafidi,,
134,La novia ausente,Alfredo DE ANGELIS,Julio Martel,TANGO,1947-06-06,Guillermo Barbieri,Enrique Cadícamo,,
135,Lunes (Lunes trece),Alfredo DE ANGELIS,Carlos Dante,TANGO,1947-06-06,José Luis Padula,Francisco García Jiménez,,
136,Cien guitarras,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,MILONGA,1947-07-03,Arturo Gallucci,Raúl Hormaza,,
137,Flores del alma,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,VALS,1947-07-03,Juan Larenza,Alfredo Lucero Palacios y Lito Bayardo,,
138,Pinche,Alfredo DE ANGELIS,,TANGO,1947-08-20,Francisco Canaro y Juan Canaro,Juan Andrés Caruso,,
139,Sentencia,Alfredo DE ANGELIS,Carlos Dante,TANGO,1947-08-20,Pedro Maffia,Celedonio Flores,,
140,A Magaldi,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,VALS,1947-10-21,Carlos Dante y Pedro Noda,Juan Tiggi,,
141,Esta vuelta pago yo,Alfredo DE ANGELIS,Carlos Dante,TANGO,1947-10-21,Miguel Bonano,José De Grassi,,
142,Fruto dulce,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,TANGO,1947-12-23,Horacio Susena,Horacio Susena,,
143,Por quererte te perdi,Alfredo DE ANGELIS,Julio Martel,TANGO,1947-12-23,Antonio Cascini,Marvil,,
144,Pa' qué te voy a contar,Alfredo DE ANGELIS,Julio Martel,MILONGA,1948-04-16,Domingo Sciaraffía,Domingo Sciaraffía,,
145,Pastora,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,TANGO,1948-04-16,Alfredo De Angelis,José Rótulo,,
146,Bajo Belgrano,Alfredo DE ANGELIS,Julio Martel,TANGO,1948-04-20,Anselmo Aieta,Francisco García Jiménez,,
147,Cristal y luna,Alfredo DE ANGELIS,Carlos Dante,TANGO,1948-06-11,Pedro Blasco,Guillermo Vilar,,
148,Seleccion de tangos (de Discépolo),Alfredo DE ANGELIS,Carlos Dante y Julio Martel,TANGO,1948-06-11,?,?,,
149,No te perdono mas,Alfredo DE ANGELIS,Julio Martel,TANGO,1948-07-23,Rodolfo Sciammarella,Rodolfo Sciammarella,,
150,Para ti madre,Alfredo DE ANGELIS,Carlos Dante,VALS,1948-07-23,José Mocciola,Venancio Clauso,,
151,El huracán,Alfredo DE ANGELIS,,TANGO,1948-09-21,Osvaldo Donato y Edgardo Donato,Nolo López,,
152,Cuatro líneas para el cielo,Alfredo DE ANGELIS,Carlos Dante,TANGO,1948-12-17,Arturo Gallucci,Reinaldo Yiso,,
153,Una carta,Alfredo DE ANGELIS,Julio Martel,TANGO,1948-12-17,Miguel Bucino,Miguel Bucino,,
154,Mocosita,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-04-20,Gerardo Matos Rodríguez,Víctor Soliño,,
155,Mi cariñito,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,VALS,1949-05-12,Alfredo De Angelis,José Rótulo,,
156,Esta noche me despido,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-05-15,Carlos Dante,José Rótulo,,
157,Alla en el bajo,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-06-02,Agustín Magaldi y Pedro Noda,Ismael Aguilar y Gerónimo Martinelli Massa,,
158,El ciruja,Alfredo DE ANGELIS,Julio Martel,TANGO,1949-06-02,Ernesto de la Cruz,Alfredo Marino,,
159,Atenti pebeta,Alfredo DE ANGELIS,Julio Martel,TANGO,1949-08-16,Ciriaco Ortiz,Celedonio Flores,,
160,Compadrón,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-08-16,Luis Visca,Enrique Cadícamo,,
161,Amigazo,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-09-26,Juan de Dios Filiberto,Francisco Brancatti y Juan Velich,,
162,Buscando perdón,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-09-26,Alberto Talián y Eduardo Talián,Santiago Adamini,,
163,Misa de once,Alfredo DE ANGELIS,Julio Martel,TANGO,1949-10-14,Juan José Guichandut,Armando Tagini,,
164,Pequeña,Alfredo DE ANGELIS,Carlos Dante,VALS,1949-10-14,Osmar Maderna,Homero Expósito,,
165,Carga,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-12-06,Wenceslao Cinosi y Wellington Cinosi,Carlos Bahr,,
166,Santa madrecita,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-12-06,Juan D'Arienzo y Héctor Varela,Carlos Waiss,,
167,Carro viejo,Alfredo DE ANGELIS,Julio Martel,TANGO,1949-12-13,Fernando Montoni,Máximo Orsi,,
168,La limosna,Alfredo DE ANGELIS,Julio Martel,TANGO,1949-12-13,Juan José Guichandut,Horacio Sanguinetti,,
169,Adiós vidalita,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-12-23,?,?,,
170,Al pie de la Santa Cruz,Alfredo DE ANGELIS,Carlos Dante,TANGO,1949-12-23,Enrique Delfino,Mario Battistella,,
171,Gloria,Alfredo DE ANGELIS,Carlos Dante,TANGO,1950-03-28,Humberto Canaro,Armando Tagini,,
172,Sos bueno vos tambien,Alfredo DE ANGELIS,Julio Martel,TANGO,1950-03-28,Francisco Canaro,Juan Andrés Caruso,,
173,No vuelvas María,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,VALS,1950-04-16,Juan Larenza,Cátulo Castillo,,
174,Jorge Duval,Alfredo DE ANGELIS,,TANGO,1950-04-19,Alfredo De Angelis,,,
175,Adios muchachos,Alfredo DE ANGELIS,Julio Martel,TANGO,1950-05-19,Julio César Sanders,César Vedani,,
176,Bésame en la boca,Alfredo DE ANGELIS,Carlos Dante,TANGO,1950-05-19,José María Rizzuti,Eduardo Calvo,,
177,El otario,Alfredo DE ANGELIS,,MILONGA,1950-06-07,Gerardo Metallo,Juan Velich,,
178,El santo de la espada,Alfredo DE ANGELIS,Julio Martel,VALS,1950-06-07,Luis Mendoza,Reinaldo Yiso,,
179,La marcha nupcial,Alfredo DE ANGELIS,Carlos Dante,TANGO,1950-06-07,Venancio Clauso,Armando Tagini,,
180,9 de Julio,Alfredo DE ANGELIS,,TANGO,1950-07-20,José Luis Padula,Lito Bayardo,,
181,Nunca te podré olvidar,Alfredo DE ANGELIS,Carlos Dante,TANGO,1950-09-22,?,?,,
182,Virgen de la serrania,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,TANGO,1950-09-22,Osvaldo Donato,Alberto Cosentino,,
183,Como la caperucita,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,TANGO,1950-11-10,Alfredo De Angelis,José Rótulo,,
184,Selecciones de Enrique Delfino,Alfredo DE ANGELIS,Carlos Dante y Julio Martel,TANGO,1950-11-10,Enrique Delfino,,,
185,Apadrinando,Alfredo DE ANGELIS,Carlos Dante,VALS,1950-12-12,Víctor Braña,Enrique Gaudino,,
186,Imaginación,Alfredo DE ANGELIS,,VALS,1950-12-12,Elvino Vardaro y Oscar Arona,Francisco García Jiménez,,
187,Largaron,Alfredo DE ANGELIS,,TANGO,1950-12-12,?,?,,
188,Tus palabras y la noche,Alfredo DE ANGELIS,Julio Martel,TANGO,1950-12-12,Emilio Querejeta,Carlos Cacciari,,
189,Flor de fango,Alfredo DE ANGELIS,Oscar Larroca,TANGO,1951-05-10,Augusto Gentile,Pascual Contursi,,
190,Llevátelo todo,Alfredo DE ANGELIS,Oscar Larroca,TANGO,1951-05-10,Rodolfo Sciammarella,Rodolfo Sciammarella,,
191,Por qué me das dique,Alfredo DE ANGELIS,Oscar Larroca,TANGO,1951-05-10,Rodolfo Sciammarella,Luis Alonso,,
192,Patrona,Alfredo DE ANGELIS,Carlos Dante,MILONGA,1951-05-29,Juan Larenza,Cátulo Castillo,,
193,Por qué doblan las campanas,Alfredo DE ANGELIS,Carlos Dante y Oscar Larroca,TANGO,1951-05-29,Alfredo De Angelis,José Rótulo,,
194,Telarañas,Alfredo DE ANGELIS,Carlos Dante y Oscar Larroca,TANGO,1951-05-29,Andrés Domenech,Jesús Fernández Blanco,,
195,Caminito del taller,Alfredo DE ANGELIS,Carlos Dante,TANGO,1951-07-11,Cátulo Castillo,Cátulo Castillo,,
196,Criolla,Alfredo DE ANGELIS,Carlos Dante y Oscar Larroca,VALS,1951-07-11,Arturo Gallucci y Carmelo Di Nápoli,Enrique Gaudino,,
197,Almagro,Alfredo DE ANGELIS,Oscar Larroca,TANGO,1951-10-23,Vicente San Lorenzo,Iván Diez,,
198,Entrá nomás,Alfredo DE ANGELIS,Oscar Larroca,TANGO,1951-10-23,Juan Rezzano,Francisco Bastardi,,
199,Pasional,Alfredo DE ANGELIS,Oscar Larroca,TANGO,1951-11-03,Jorge Caldara,Mario Soto,,
200,Miguelito el arriero,Alfredo DE ANGELIS,Carlos Dante y Oscar Larroca,TANGO,1951-11-05,Hipólito Caron,Hipólito Oneca,,
201,La misma tarde,Alfredo DE ANGELIS,Carlos Dante y Oscar Larroca,TANGO,1951-11-12,Graciano Gómez,Justo Ricardo Thompson,,
202,Pampa y cielo,Alfredo DE ANGELIS,Carlos Dante,VALS,1951-11-12,Pacífico Lambertucci,Pacífico Lambertucci,,
203,La flauta de Bartolo,Alfredo DE ANGELIS,Carlos Dante y Oscar Larroca,MILONGA,1952-04-15,Domingo Sciaraffia,Domingo Sciaraffia,,
204,Pobre de ellos,Alfredo DE ANGELIS,Carlos Dante,TANGO,1952-04-15,Héctor Marcó,Héctor Marcó,,
205,Medallita de la suerte,Alfredo DE ANGELIS,Oscar Larroca,TANGO,1952-05-20,Carlos Gardel y José Razzano,Mario Battistella,,
206,Pa' mí es igual,Alfredo DE ANGELIS,Oscar Larroca,TANGO,1952-05-20,Lucio Demare y Roberto Fugazot,Enrique Cadícamo y Agustín Irusta,,
207,Sonsa,Alfredo DE ANGELIS,Carlos Dante,TANGO,1952-05-30,Raúl de los Hoyos,Emilio Fresedo,,
208,Un cacho 'e tango,Alfredo DE ANGELIS,Carlos Dante,TANGO,1952-05-30,Alfredo De Angelis,Francisco Amor,,
209,Cuando llora la milonga,Alfredo DE ANGELIS,,TANGO,1952-07-01,Juan de Dios Filiberto,María Luisa Carnelli,,
210,Zorro gris,Alfredo DE ANGELIS,Oscar Larroca,TANGO,1952-07-01,Rafael Tuegols,Francisco García Jiménez,,
211,El choclo,Alfredo DE ANGELIS,,TANGO,1952-08-05,Angel Villoldo,Angel Villoldo,,
212,Tradición,Alfredo DE ANGELIS,Carlos Dante y Oscar Larroca,TANGO,1952-08-05,Fausto Frontera,Enrique Cadícamo,,
213,Trapo viejo,Alfredo DE ANGELIS,Carlos Dante,TANGO,1952-08-05,Agustín Magaldi y Pedro Noda,Benjamín Tagle Lara,,
