,Title,Rhythm,Year of Composition,Music Composer,Lyrics Composer,Genre,Vocalist,Ensemble,Instrumentalist,Recording Info,Duration,File ID
6113,Sr. Pamela,Tango,2007,Ariel Prat,Alejandro Szwarcman,Tango,Ariel Prat María Volonté,Conjunto,Ariel Prat,22-8-2015 Buenos Aires Típica Récords 0408-02,04:05,7540
6114,Su carta no llegó,Tango,,Raúl Fernández Siro,Homero Manzi,Tango,Ángel Vargas,Orquesta,Ángel D'Agostino,26-5-1944 Buenos Aires RCA-Victor 60-0447 79710,,
6115,Su nombre era Margot,Tango,,Ángel Cabral,Ángel Cabral,Tango,Alfredo Belusi,Orquesta,José Basso,1966 Buenos Aires Music Hall 2045,,
6116,Su nombre era Margot,Tango,,Ángel Cabral,Ángel Cabral,Tango,Carlos Del Mar,Guitarras de,Dioni Velázquez,2006 Madrid KMC Record,02:16,6359
6117,Suavemente,Foxtrot,,Alberto Soifer,Hugo Zamora,Foxtrot,Ada Falcón,Orquesta,Francisco Canaro,10-8-1934 Buenos Aires Odeon 11252 7796,03:33,1934
6118,Sueña [b],Vals,,Emile Noblot,Max François,Vals,Alberto Podestá,Orquesta,Miguel Caló,13-10-1954 Buenos Aires Odeon 51628 19765,,
6119,Suena el acordeón,Tango,,Juan Cruz Mateo,Mario Battistella,Tango,Carlos Dante,Orquesta,Miguel Caló,10-6-1935 Buenos Aires Odeon 8354 8176,,
6120,Suena guitarra querida,Estilo,,"Carlos Gardel, José Razzano","Carlos Gardel, José Razzano",Estilo,Nelly Omar,Guitarras de,Roberto Grela,20-11-1953 Buenos Aires Odeon,,
6121,Suena guitarra querida,Estilo,,"Carlos Gardel, José Razzano","Carlos Gardel, José Razzano",Estilo,Nelly Omar,Guitarras de,José Canet,1969 Buenos Aires Magenta 5.053,,
6122,Sueño de adoquín,Tango,,Mingo Scalenghe,Alberto Domenella,Tango,Magalí Fontana,Trío,Mingo Scalenghe,2003 Buenos Aires Particular,03:18,2640
6123,Sueño de amor,Vals,,Juan Pedro Castillo,,Vals,Instrumental,Orquesta,Típica Columbia,Buenos Aires Columbia Record,02:46,2904
6124,Sueño de barrilete,Tango,,Eladia Blázquez,Eladia Blázquez,Tango,Roberto Rufino,Orquesta,Baffa-Berlingieri,25-4-1969 Buenos Aires RCA-Victor CAL-3215 8796,,
6125,Sueño de barrilete,Tango,,Eladia Blázquez,Eladia Blázquez,Tango,Eladia Blázquez,Trío,Leopoldo Federico,1970 Buenos Aires RCA-Victor AVLP-3972,03:42,3637
6126,Sueño de juventud,Vals,1931,Enrique Santos Discépolo,Enrique Santos Discépolo,Vals,Jorge Durán,Orquesta,Carlos Di Sarli,29-8-1945 Buenos Aires RCA-Victor 60-0792 80830,,
6127,Sueño de juventud,Vals,1931,Enrique Santos Discépolo,Enrique Santos Discépolo,Vals,Oscar Serpa,Orquesta,Carlos Di Sarli,31-8-1954 Buenos Aires RCA-Victor 60-1778 S2794,,
6128,Sueño de juventud,Vals,1931,Enrique Santos Discépolo,Enrique Santos Discépolo,Vals,Oscar Alonso,Orquesta,Carlos García,14-10-1968 Buenos Aires Odeon LDS-854,,
6129,Sueño de juventud,Vals,1931,Enrique Santos Discépolo,Enrique Santos Discépolo,Vals,Carlos Acuña,Orquesta,Rodolfo Biagi,11-4-1944 Buenos Aires Odeon 5643 13693,,
6130,Sueño de juventud,Vals,1931,Enrique Santos Discépolo,Enrique Santos Discépolo,Vals,Mercedes Carné,Orquesta,Carlos Di Sarli,1931 Buenos Aires Brunswick 2203-B 2370,,
6131,Sueño de juventud,Vals,1931,Enrique Santos Discépolo,Enrique Santos Discépolo,Vals,Francisco Fiorentino,Orquesta,Pedro Maffia,1931 Buenos Aires Columbia Record 6031-A,,
6132,Sueño de juventud,Vals,1931,Enrique Santos Discépolo,Enrique Santos Discépolo,Vals,Oscar Serpa,Orquesta,Carlos Di Sarli,1952 Buenos Aires Music Hall 1007A BA 1012,,
6133,Sueño de juventud,Vals,1931,Enrique Santos Discépolo,Enrique Santos Discépolo,Vals,Brian Chambouleyron,Con guitarras,,2001 Buenos Aires En vivo,03:33,5751
6134,Sueño de muñeca,Vals,,Juan Canaro,Jesús Fernández Blanco,Vals,Roberto Maida,Orquesta,Francisco Canaro,25-4-1935 Buenos Aires Odeon 4945 8091,03:31,1689
6135,Sueño malevo,Tango,,Leo Lipesker,Abel Aznar,Tango,Alfredo Belusi,Orquesta,José Basso,26-4-1960 Buenos Aires Odeon 52603 25218,,
6136,Sueño malevo,Tango,,Leo Lipesker,Abel Aznar,Tango,Alfredo Belusi,Orquesta,Osvaldo Pugliese,1960 Buenos Aires Stentor SA 6001,,
6137,Sueño querido,Tango,1932,Ángel Maffia,Mario Battistella,Tango,Carlos Gardel,con piano y violín,,23-7-1932 Barcelona Odeon 184293 So7798,02:40,851
6138,Sueño querido,Tango,1932,Ángel Maffia,Mario Battistella,Tango,Roberto Rufino,Orquesta,Raúl Garello,20-11-1970 Buenos Aires RCA-Victor CAL-3279 10887,,
6139,Sueños y sombras,Tango,,Beba Pugliese,,Tango,Instrumental,Orquesta,Beba Pugliese,1995 Buenos Aires EMI-Odeon 8 34651 2,03:31,7155
6140,Suerte loca,Tango,1924,Anselmo Aieta,Francisco García Jiménez,Tango,Francisco Fiorentino,Orquesta,Aníbal Troilo,15-6-1942 Buenos Aires RCA-Victor 39627 69757,,
6141,Suerte loca,Tango,1924,Anselmo Aieta,Francisco García Jiménez,Tango,Instrumental,Orquesta,Osvaldo Pugliese,18-6-1986 Buenos Aires Odeon,,
6142,Suerte loca,Tango,1924,Anselmo Aieta,Francisco García Jiménez,Tango,Armando Laborde,Orquesta,Juan D'Arienzo,9-10-1964 Buenos Aires RCA-Victor AVL-3688 RAAN-4561,,
6143,Suerte loca,Tango,1924,Anselmo Aieta,Francisco García Jiménez,Tango,Reynaldo Martín,Orquesta,Osvaldo Berlingieri,1994 Buenos Aires M&M TK(34) 16213,02:08,1164
6144,Sufra,Tango,1921,Francisco Canaro,Juan Andrés Caruso,Tango,Instrumental,Orquesta,Alfredo De Angelis,1-9-1970 Buenos Aires Odeon 858-A 37496,,
6145,Sufran otarios,Tango,,José Di Clemente,José Di Clemente,Tango,Luis Díaz,Orquesta,Pedro Maffia,1930 Buenos Aires Brunswick 1412-B,,
6146,Suipacha,Tango,,Eduardo Arolas,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,26-10-1956 Buenos Aires Odeon 52047 21473,,
6147,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Roberto Goyeneche,Orquesta,Aníbal Troilo,26-4-1971 Buenos Aires RCA-Victor AVL-4025 11198,,
6148,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Edmundo Rivero,Orquesta,Aníbal Troilo,8-8-1956 Buenos Aires T.K. SB35003 1297,,
6149,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Edmundo Rivero,Orquesta,Aníbal Troilo,23-2-1948 Buenos Aires RCA-Victor 60-1555 83844,03:34,647
6150,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Floreal Ruiz,Orquesta,Francisco Rotundo,14-12-1948 Buenos Aires Odeon 30651 17165,,
6151,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Julio Sosa,Orquesta,Luis Caruso,25-6-1948 Montevideo Sondor 5157-B 2098,,
6152,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Abel Córdoba,Orquesta,Osvaldo Pugliese,14-10-1976 Buenos Aires Odeon 6933 43169,,
6153,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Nelly Omar,Guitarras de,José Canet,1976 Buenos Aires Embassy 90.007,,
6154,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Rosanna Falasca,Orquesta,Lito Escarso,1982 Buenos Aires Polydor,,
6155,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Jorge Miró,Orquesta,Alberto Mancione,1989 Buenos Aires Almalí 125.107,,
6156,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Instrumental,Trío,Carla Algeri,2007 Buenos Aires,03:56,7036
6157,Sur,Tango,1948,Aníbal Troilo,Homero Manzi,Tango,Cecilia Cordone,Con orquesta,,2010 Buenos Aires Particular s/nº,02:27,7046
6158,Sus ojos se cerraron,Tango,1935,Carlos Gardel,Alfredo Le Pera,Tango,Jorge Durán,Orquesta,Francisco Rotundo,6-12-1955 Buenos Aires Odeon 14142 MAI-1768,,
6159,Sus ojos se cerraron,Tango,1935,Carlos Gardel,Alfredo Le Pera,Tango,Julio Sosa,Orquesta,Leopoldo Federico,18-8-1961 Buenos Aires CBS-Columbia 8307 2660,,
