,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
904,Calla,Orquesta Carlos Di Sarli,Roberto Florio,1956-12-19,Buenos Aires,Tango,Roberto Rufino,Manuel Barros,,RCA-Victor 1A-1178-B T0041,
905,Calla,Orquesta Juan D'Arienzo,Armando Laborde,1965-10-14,Buenos Aires,Tango,Roberto Rufino,Manuel Barros,,RCA-Victor AVL-3688 RAAN-5395,
907,Calla bandoneón,Orquesta José García,Alfredo Rojas,1944-04-07,Buenos Aires,Tango,Carlos Lazzari,Oscar Rubens,,Odeon 7415 13697,
908,Calla bandoneón,Orquesta Ricardo Tanturi,Enrique Campos,1944-05-18,Buenos Aires,Tango,Carlos Lazzari,Oscar Rubens,,RCA-Victor 60-0453 79695,
909,Calla bandoneón,Orquesta Juan D'Arienzo,Armando Laborde,1956-08-23,Buenos Aires,Tango,Carlos Lazzari,Oscar Rubens,,RCA-Victor 1A-1066 5087,
910,Calla corazón,Orquesta Rodolfo Biagi,Jorge Ortiz,1942-04-15,Buenos Aires,Tango,Enrique Delfino,Mario Rada,,Odeon 5631 11945,
912,Callao once,Orquesta Osvaldo Pugliese,Instrumental,1976-05-14,Buenos Aires,Tango,Javier Mazzea,,1974,Odeon 6210 42799,
917,Callecita de mi barrio,Orquesta Rodolfo Biagi,Jorge Ortiz,1940-10-04,Buenos Aires,Tango,"Alberto Laporte, Otelo Gasparini",Enrique Maroni,,Odeon 5616 10726,
920,Callejera,,Carlos Gardel,1929-06-21,Buenos Aires,Tango,Fausto Frontera,Enrique Cadícamo,1929,Odeon 18275 4273/1,1358
921,Callejera,Orquesta Osvaldo Pugliese,Abel Córdoba,1974-12-11,Buenos Aires,Tango,Fausto Frontera,Enrique Cadícamo,1929,Odeon 6210 41858,
922,Callejero,Orquesta Ricardo Tanturi,Roberto Videla,1947-05-09,Buenos Aires,Tango,Arturo Gallucci,Francisco Bohigas,,RCA-Victor 60-1319 83414,
928,Calor de hogar,Orquesta Alfredo Gobbi,Jorge Maciel,1951-06-26,Buenos Aires,Tango,Eugenio Carrere,Jesús Fernández Blanco,,RCA-Victor 63-0111 94261,
929,Calor de hogar,Orquesta José Libertella,Miguel Montero,1961-12-28,Buenos Aires,Tango,Eugenio Carrere,Jesús Fernández Blanco,,Odeon,1744
930,Calor de hogar,Orquesta Leopoldo Federico,Julio Sosa,1963-11-14,Buenos Aires,Tango,Eugenio Carrere,Jesús Fernández Blanco,,CBS-Columbia 8425 3818,
