,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
1050,Capillita limeña,Orquesta Alfredo De Angelis,Carlos Aguirre,1967-12-28,Buenos Aires,Vals,Luis de Olivel,Carlos Dato,,Odeon 7255-B 34191,
1051,Caprichosa,,Carlos Gardel,1930-08-28,Buenos Aires,Fado,Froilán Aguilar,Froilán Aguilar,,Odeon 18837 6067/1,1919
1052,Cara rota,,Carlos Gardel,1932,Barcelona,Tango,Julio Falcón,Julio Falcón,,Odeon 184299 SO-7804,7031
1053,Cara sucia,Orquesta Carlos Di Sarli,Instrumental,1957-07-12,Buenos Aires,Tango,Francisco Canaro,,,RCA-Victor 1A-1333 T0231,3344
1054,Cara sucia,Orquesta Carlos Di Sarli,Instrumental,1952,Buenos Aires,Tango,Francisco Canaro,,,Music Hall 1009B BA 1016,
1055,Carbonada [b],Orquesta Pedro Maffia,Luis Díaz,1929,Buenos Aires,Ranchera,Pascual Clausi,Juan Bautista Abad Reyes,,Brunswick 1409-B,
1056,Carbonada [b],Orquesta Carlos Di Sarli,Mercedes Carné,1931,Buenos Aires,Ranchera,Pascual Clausi,Juan Bautista Abad Reyes,,Brunswick 2206-B,
1057,Carbonilla,Orquesta José Libertella,Miguel Montero,1962-06-04,Buenos Aires,Tango,"Miguel Montero, José Libertella",Aldo Queirolo,,Odeon 6575,1465
1058,Cardo y malvón,Orquesta Osvaldo Pugliese,Instrumental,1963,BUENOS AIRES,Tango,Osvaldo Pugliese,,,Philips 82000 7.1963,
1059,Carga,Orquesta Alfredo De Angelis,Carlos Dante,1949-12-06,Buenos Aires,Tango,"Wenceslao Cinosi, Wellington Cinosi",Carlos Bahr,,Odeon 30426-A 17514,
1060,Caricias,,Carlos Gardel,1925,Buenos Aires,Tango,María Isolina Godard,Juan Andrés Caruso,1933,Odeon 18132 2728/1,1727
1061,Caricias [b],Orquesta Ángel D'Agostino,Ángel Vargas,1945-07-17,Buenos Aires,Tango,Juan Martí,Alfredo Bigeschi,1937,RCA-Victor 60-0749 80757,
1062,Caricias [b],Orquesta Rodolfo Biagi,Carlos Heredia,1951-07-30,Buenos Aires,Tango,Juan Martí,Alfredo Bigeschi,1937,Odeon 55281 18131,
1063,Caricias de nácar,Orquesta Carlos Pazo,Martín Alvarado,2006,Buenos Aires,Tango,Carlos Pazo,Renata Lamborghini,,,7200
1064,Caricias perdidas,Orquesta Francini-Pontier,Mario Lagos,1954-01-15,Buenos Aires,Vals,Héctor Stamponi,Carlos Bahr,,RCA-Victor 68-1452 81918,7205
1065,Carillón de La Merced,Orquesta Alfredo De Angelis,Carlos Dante,1957-09-18,Buenos Aires,Tango,Enrique Santos Discépolo,"Enrique Santos Discépolo, Alfredo Le Pera",1931,Odeon 52256-A 22493,
